,place,bib,age,swim_time,t1_time,bike_time,t2_time,run_time,chip_time
place,1.0,-0.1437929964254028,0.2552244433491953,0.6347730943739224,0.7175511022442937,0.9121016889307506,0.6566103884804495,0.8981588742536397,0.9599512579048752
bib,-0.1437929964254028,1.0,-0.07224228680072974,0.0420560710652609,-0.03126319513080864,-0.1469135385323464,-0.09849422459277134,-0.1557053148535564,-0.13212131512076405
age,0.2552244433491953,-0.07224228680072974,1.0,0.18335316271403493,0.18342705874063578,0.19735808215890924,0.118396729155141,0.3208645193691733,0.2610822746376758
swim_time,0.6347730943739224,0.0420560710652609,0.18335316271403493,1.0,0.5998450171334041,0.5219327065664555,0.4622111030054892,0.532180333694482,0.6675961008354814
t1_time,0.7175511022442937,-0.03126319513080864,0.18342705874063578,0.5998450171334041,1.0,0.688961295179635,0.6420590440021063,0.642656280926078,0.7530245500950619
bike_time,0.9121016889307506,-0.1469135385323464,0.19735808215890924,0.5219327065664555,0.688961295179635,1.0,0.5680854847311624,0.8161655747028131,0.9556271268518394
t2_time,0.6566103884804495,-0.09849422459277134,0.118396729155141,0.4622111030054892,0.6420590440021063,0.5680854847311624,1.0,0.6440817024156257,0.6639316117092788
run_time,0.8981588742536397,-0.1557053148535564,0.3208645193691733,0.532180333694482,0.642656280926078,0.8161655747028131,0.6440817024156257,1.0,0.9257489674398593
chip_time,0.9599512579048752,-0.13212131512076405,0.2610822746376758,0.6675961008354814,0.7530245500950619,0.9556271268518394,0.6639316117092788,0.9257489674398593,1.0
